CODPROV;CODCLI;CRF;CLIENTE;REEUP;TARIFA;;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;"TOTAL "
33;Sed_CODCLI;BAYAMO120860;Sede;6642;;;7216;7149;7500;8802;8527;8567;8313;5214;8281;8423;8891;6629;93512
33;Tal_CODCLI(3);316F1595;Taller;6642;;;380;464;462;489;379;369;359;136;358;364;383;318;4462
33;Gra_CODCLI;316A1840;Granjita;6642;;;380;371;370;440;426;415;359;272;358;364;431;357;4545
33;Est_CODCLI(13);38320201;"Est. Agricola";6642;;;380;371;370;440;436;462;359;204;358;364;383;357;4485
33;Bom_CODCLI;BAYAMO181220;Bombeo;6642;;;949;928;925;1174;1042;1016;899;475;895;911;1054;794;11062
33;Pas_CODCLI;357J4665;Pasto;6642;;;949;928;925;1467;1326;1846;1168;543;1182;1202;1265;905;13707
33;Alb_CODCLI;39664030;Albergue;6642;;;190;269;268;284;275;268;225;68;224;228;240;198;2735
33;Sed_CODCLI(2);29391628000;Sede;6749;;;1899;1857;1850;2347;2274;2308;2292;1731;2283;2322;2347;1786;25296
33;Est_CODCLI(14);41350051;"Est. Mzllo";6749;;;380;371;370;587;568;554;584;441;537;546;479;397;5815
33;Cab_CODCLI;56110940;"Cabo Cruz";6749;;;475;557;555;782;758;739;809;611;716;774;814;556;8146
33;Juc_CODCLI;241J2090;Jucarito;6749;;;570;464;462;685;663;646;737;557;716;774;671;516;7461
33;Veg_CODCLI;98753090;Veguita;6749;;;665;650;647;880;853;831;854;645;761;774;814;595;8969
33;Rad_CODCLI(3);O7D631580;Radar;6749;;;9115;8542;9063;9878;9569;9878;10272;7759;9848;10107;9725;8058;111814
33;Gar_CODCLI;623H3898;Garita;13004;;;95;93;92;98;95;92;90;68;90;91;96;79;1079
33;Caf_CODCLI;623H4475;Cafeteria;13004;;;190;139;185;147;142;185;180;136;179;182;192;159;2015
33;Ran_CODCLI;623H4470;Ranchón;13004;;;1139;1068;1202;1125;1090;1108;1528;1154;1074;1184;1246;1350;14266
33;OTN_CODCLI(5);31554482;"OTN Maso";9677;;;577;557;647;782;853;831;809;272;806;820;766;556;8275
33;OTN_CODCLI(6);31631670;"OTN Saco";9677;;;665;650;740;880;853;831;809;407;806;820;862;635;8957
33;CIG_CODCLI(5);315D0112;"CIGET ";6761;;;1994;2043;2312;2738;2653;2585;2444;1086;2507;2094;2108;1747;26311
33;SIS_CODCLI;31325660;"SISMOLG. ";11962;;;475;464;462;489;474;462;449;339;448;455;479;397;5393
34;154771;703960;CMP;6749;;;285;279;277;293;284;369;359;272;358;364;287;238;4100
34;154772;703970;"EST MET";6749;;;2848;2414;2589;2738;2747;2862;2696;2037;2775;2823;2683;2223;35000
34;200897;O90280;"EST MET";6749;;;285;279;277;293;284;369;359;272;358;364;287;238;4100
34;460550;635000;"EST MET";6749;;;380;371;370;391;379;369;359;272;358;364;383;238;4700
34;1897;231500;"RADAR ";6749;;;2943;2785;2959;3130;3126;3047;2966;2240;2954;3005;3066;2541;38700
34;1679;O93250;DELEGACION;9367;;;6361;6035;6196;8704;8432;8217;7998;3734;7878;8013;7569;6272;94400
34;144895;251703;CENAIS;11962;;;949;928;925;978;947;923;899;679;895;911;958;794;10786,68315
34;144896;251723;CENAIS;11962;;;1519;1486;1480;1565;1516;1477;1438;1086;1432;1457;1533;1270;17258,69304
34;201932;171721;CENAIS;11962;;;760;743;740;782;758;739;719;543;716;728;766;635;8629,346518
34;206413;440480;CENAIS;11962;;;665;687;684;724;701;683;647;475;627;674;709;556;7831,472404
34;162122;142846;"OBS CENAIS";11962;;;5697;5571;5549;5868;5684;5539;5392;4073;5372;5463;5749;4764;64720,09889
34;1807;182200;MEGACEN;6761;;;4747;4828;5641;5966;5874;6093;5482;2851;4924;5008;6707;5161;70000
34;1972;283600;CIES;6680;;;3323;3250;3237;3423;3316;3231;2876;2172;3133;3187;3353;2779;37280,13465
34;1974;283800;"TALLER CIES";6680;;;3798;3714;3699;3912;3790;3693;3595;2715;3581;3642;3832;3176;43146,73259
34;5969;405540;MUSEO;6680;;;2184;2135;2127;2249;2179;2123;2067;1561;2059;2094;2204;953;38400
34;211775;O90580;"EST ECOL";6680;;;2374;2321;2312;2445;2369;2308;2247;1697;2238;2276;2395;953;9850
34;204249;312001;"LAS CUAVAS";6680;;;285;279;277;293;284;277;270;204;269;273;287;953;10800
34;205017;352404;"JARDIN CAC";6680;;;949;928;925;978;947;923;899;679;895;911;958;953;5950
34;200768;711200;"JARDIN BOT";6680;;;190;186;185;196;189;185;180;136;179;182;192;953;6910
34;283076;341743;"JARDIN HEL";6680;;;285;279;277;293;284;277;270;204;269;273;287;953;12200
34;1769;153600;MUSEO;6680;;;854;836;869;919;891;868;827;625;842;856;881;953;37200
34;16149;402232;AGENCIA;9367;;;0;0;0;0;0;0;0;0;0;0;0;0;0
34;16155;402241;AGENCIA;9367;;;285;279;277;293;284;277;270;204;269;273;287;238;3236
34;411124;O78095;DELEGACION;9367;;;2848;2785;2774;2934;2842;2677;2606;2037;2686;2732;2779;953;2190
34;49045;691840;"CASA VISTA";9367;;;949;928;925;978;947;923;899;679;895;911;958;953;11450
34;145064;261681;UPAL;9367;;;2848;2785;2774;2934;2842;2770;2606;1969;2686;2732;2874;2302;32122,90413
34;154746;703460;UPAL;9367;;;921;928;925;978;947;923;899;679;895;911;958;754;10718,50365
34;148887;703462;UPAL;9367;;;361;353;351;372;360;351;341;238;313;346;364;278;4027,897402
34;58644;344852;GEBSTGO;13999;;;76;74;74;78;76;74;72;54;72;73;77;64;862,9346518
34;OTN_CODCLI(7);OTN_CRF;"OTN ";9259;;;6361;6035;6196;8704;8432;8217;7998;3734;7878;8013;7569;6272;85409
34;15242;383650;ARCHIVO;9367;;;2374;2321;2312;2445;2274;2400;2516;1901;2507;2276;2395;1985;30900
34;316308;610013;ARCHIVO;9367;;;95;93;92;98;95;92;90;68;90;91;96;79;1200
34;509348;O72895;ARCHIVO;9367;;;95;93;92;98;95;92;90;68;90;91;96;79;1200
34;160524;452085;"LING APL";13546;;;902;836;879;880;900;877;809;611;851;865;910;754;10073,14943
35;CDM_CODCLI;910160;CDM;12214;;;2658;2414;2497;2836;2842;2585;2606;1426;2596;2641;2683;2302;30086
35;Tal_CODCLI(4);910180;"Taller CDM";12214;;;1329;1486;1387;1271;1137;1293;1168;611;1235;1184;1341;1032;14475
35;Del_CODCLI(5);450210;Delegación;6797;;;4272;4178;4161;4401;4263;4154;4044;1358;895;911;958;794;34390
35;UMA_CODCLI;171882;UMA;6797;;;949;928;925;978;947;923;899;679;3930;4098;4311;3573;23141
35;Org_CODCLI(2);211182;"Organo M.";6797;;;760;743;740;782;758;739;719;272;806;728;766;635;8447
35;Cat_CODCLI;O94530;Catedes;6797;;;854;836;832;1027;995;1016;989;407;985;1002;862;715;10519
35;CS_CODCLI;O91641;CS;6797;;;142;139;139;147;142;138;135;68;224;182;144;119;1719
35;SAS_CODCLI;280557;SAS;6797;;;142;139;139;147;142;138;135;68;134;137;96;79;1496
35;Cas_CODCLI(5);OO1801;"Casa Visita";6797;;;380;371;370;391;379;369;359;136;358;319;287;238;3958
35;Fab_CODCLI;Fab_CRF;Fabrica;6797;;;190;186;185;98;95;92;90;170;448;91;240;198;2082
35;Lab_CODCLI;290333;Laboratorio;6797;;;190;186;185;147;142;92;90;170;448;91;287;238;2266
35;UPS_CODCLI(2);OO1530;UPSA;6797;;;85;84;83;88;85;83;81;61;81;82;86;71;971
35;Alm_CODCLI;OOO600;Almacen;6797;;;285;279;277;293;284;277;270;204;269;273;287;238;3236
